"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"34" 3 4 67 26 0 201 209 2 4 4 2 0 0 0 2 22 11.6620310107 0.530092318667 -7.68066796901e-10 5.24622151096e-14 -1.68974695318e-08
"35" 4 1 2 0 0 7 7 0 0 0 0 0 0 0 0 6 3.69187351266 0.61531225211 -8.16517276227e-06 1.59202302324e-06 -4.89910365736e-05
"36" 4 2 2 0 0 7 7 0 0 0 0 0 0 0 0 6 3.689177332 0.614862888667 -2.33227401556e-07 1.33329511098e-08 -1.39936440934e-06
"37" 4 3 2 0 0 7 7 0 0 0 0 0 0 0 0 6 3.68910123948 0.614850206579 -6.5066628582e-09 6.41940398551e-11 -3.90399771492e-08
"38" 4 4 2 0 0 7 7 0 0 0 0 0 0 0 0 6 3.68909911724 0.614849852873 -1.81421153603e-10 2.9860594754e-13 -1.08852692162e-09
"39" 5 1 22 38 0 27 45 0 0 0 0 0 0 0 0 9 4.78518369522 0.531687077246 7.70907179267e-06 2.43179760737e-06 6.9381646134e-05
"40" 5 2 22 38 0 27 45 0 0 0 0 0 0 0 0 9 4.78679691846 0.531866324274 1.33493169905e-09 2.47429182507e-10 1.20143852915e-08
"41" 5 3 22 38 0 27 45 0 0 0 0 0 0 0 0 9 4.78679719618 0.531866355131 2.29993943631e-13 2.11684780083e-10 2.06994549268e-12
"42" 5 4 22 38 0 27 45 0 0 0 0 0 0 0 0 9 4.78679719623 0.531866355136 3.99400504471e-17 1.72398655645e-10 3.59460454024e-16
"43" 6 1 221 269 0 659 557 0 0 0 0 0 0 0 0 23 9.48078998122 0.412208260053 2.86480795067e-07 1.54453125768e-08 6.58905828653e-06
"44" 6 2 221 269 0 659 557 0 0 0 0 0 0 0 0 23 9.48268830833 0.412290796014 4.31258528804e-07 7.97780287368e-09 9.9189461625e-06
"45" 6 3 221 269 0 659 557 0 0 0 0 0 0 0 0 23 9.48434180552 0.412362687196 2.78714799442e-07 3.09250633379e-09 6.41044038717e-06
"46" 6 4 221 269 0 659 557 0 0 0 0 0 0 0 0 23 9.48529359099 0.412404069174 1.44947195858e-07 1.02197727752e-09 3.33378550474e-06
"47" 7 1 55 26 0 276 280 0 0 0 0 0 0 0 0 27 13.6170383641 0.504334754226 6.87314980362e-06 5.92363382502e-07 0.000185575044698
"48" 7 2 55 26 0 276 280 0 0 0 0 0 0 0 0 27 13.628685804 0.504766140889 3.15494034083e-07 1.87762692908e-09 8.51833892024e-06
"49" 7 3 55 26 0 276 280 0 0 0 0 0 0 0 0 27 13.6292000349 0.504785186478 1.30830964187e-08 4.24638379807e-11 3.53243603305e-07
"50" 7 4 55 26 0 276 280 0 0 0 0 0 0 0 0 27 13.6292213101 0.504785974449 5.41653479614e-10 5.18952545809e-12 1.46246439496e-08
"51" 8 1 19 15 0 32 56 0 0 0 0 0 0 0 0 10 6.79368487986 0.679368487986 -3.18495847295e-06 6.78085462021e-08 -3.18495847295e-05
"52" 8 2 19 15 0 32 56 0 0 0 0 0 0 0 0 10 6.78938448106 0.678938448106 -8.3610101975e-07 5.4083344103e-08 -8.3610101975e-06
"53" 8 3 19 15 0 32 56 0 0 0 0 0 0 0 0 10 6.78960286392 0.678960286392 7.31869468344e-07 4.03734366367e-08 7.31869468344e-06
"54" 8 4 19 15 0 32 56 0 0 0 0 0 0 0 0 10 6.79125220968 0.679125220968 7.64109326053e-07 1.51268719379e-08 7.64109326053e-06
"55" 9 1 65 12 0 411 375 0 0 0 0 0 0 0 0 37 18.3287029338 0.495370349562 5.74667047204e-06 4.54837877855e-07 0.000212626807466
"56" 9 2 65 12 0 411 375 0 0 0 0 0 0 0 0 37 18.349773003 0.495939810893 1.25281121081e-06 3.50424592099e-08 4.63540147999e-05
"57" 9 3 65 12 0 411 375 0 0 0 0 0 0 0 0 37 18.3544616574 0.49606653128 2.57455940757e-07 1.28485213214e-09 9.52586980799e-06
"58" 9 4 65 12 0 411 375 0 0 0 0 0 0 0 0 37 18.3554259262 0.4960925926 5.56277909695e-08 5.01684648351e-11 2.05822826587e-06
"59" 10 1 9 3 0 28 28 0 0 0 0 0 0 0 0 10 5.78423696892 0.578423696892 2.45281918451e-06 1.01619455339e-07 2.45281918451e-05
