sphote	sppar	para	a	b	c	d	f	g	aa	bb	cc	lm	li
Divu	eleg	Divu1eleg1	1.55	1.4	1.2	0.5	0.5	0.3	1.6	1.6	0.9		
Divu	tome	Divu1tome1	2.4	2.25	1.4	0.65	1.2	0.4	1.8	1.9	0.9	3.1	3.4
Divu	tome	Divu1tome2	2.3	2.2	1.2	0.85	1.05	0.3	1.85	1.75	0.95	2.3	3.05
Divu	kech	Divu1kech2	1.65	1.5	1	0.65	0.6	0.3	1.3	1.25	0.7	1.4	
Divu	tome	Divu1tome3	2.15	2.1	1.25	0.9	1.2	0.45	1.8	1.85	0.9	3.05	2.8
Divu	kech	Divu1kech3	1.75	1.4	1	0.45	0.85	0.4	1.1	0.8	0.6	1.8	1.6
Divu	kech	Divu1kech4	1.8	1.6	1.15	0.6	0.9	0.3	1.5	1.4	0.6	1.75	1.6
Divu	igno	Divu1igno1	1.3	1.2	0.7	0.6	0.6	0.3	1.1	1	0.6	2.15	1.75
Divu	eleg	Divu1eleg2	1.7	1.65	1.2	0.45	0.55	0.4	1.6	1	1.5	1.8	2
Divu	kech	Divu1kech5	1.7	1.6	1.1	0.65	0.7	0.3	1.5	0.7	1.4	1.9	1.8
Divu	eleg	Divu1eleg3	1.7	1.6	1.2	0.5	0.6	0.35	1.6	1.45	1	2.1	2.4
Divu	eleg	Divu1eleg4	1.5			0.4	0.5	0.35	1.4			1.9	2.1
Divu	igno	Divu1igno2	1.4	1.3	0.8	0.6	0.65	0.4	1.2	1.1	0.6	2	1.7
Divu	eleg	Divu1eleg5	1.65	1.3	1.1	0.55	0.55	0.35	1.5	1.4	0.9	2.1	2.4
Divu	eleg	Divu1eleg6	1.7	1.8	1.1	0.65	0.65	0.25	1.55	1.4	1	1.5	2.1
Divu	erge	Divu1erge1	2.24	2.24	1.6	0.8	0.8	0.88	1.76	1.92	1.12	3.04	2.88
Divu	kech	Divu1kech6	1.7						1.55			2.1	1.6
Sasa	igno	Sasa1igno1	1.1	0.95	0.6	0.35	0.3	0.25	1.05	0.95	0.5	1.4	1.3
Sasa	igno	Sasa1igno2											
Sasa	igno	Sasa1igno3	1.15	1.2	0.65	0.5	0.55	0.2	1	0.95	0.55	1.4	1.2
Sasa	igno	Sasa1igno4	1.25	1	0.7	0.45	0.5	0.2	1.2	1	0.45		1.5
Sasa	igno	Sasa1igno5	1	0.9	0.7	0.3	0.3	0.2	1	1.1	0.7	1.6	1.45
Divu	falc	Divu2falc1	1.05	1	0.65	0.5	0.5	0.3	0.95	1	0.6	1.4	1.4
Divu	eleg	Divu2eleg1	1.7	1.55	1.3	0.5	0.65	0.3	1.65	1.5	1.1		2.2
Divu	kech	Divu2kech1	1.6	1.8	0.75	0.45	0.5	0.25	1.8	1.6	1.2	2	1.7
Divu	eleg	Divu2eleg2	1.85	1.6	1.3	0.55	0.55	0.35	1.8	1.6	1.15	1.2	
Divu	eleg	Divu2eleg3	1.85	1.5	1.25	0.5	0.55	0.4	1.65	1.55	1		
Divu	eleg	Divu2eleg4	1.9	1.8	1.3	0.7	0.75	0.35	1.7	1.6	1.05	2.3	2.4
Divu	eleg	Divu3eleg1	1.85	1.7	1.3	0.6	0.55	0.35	1.65	1.45	1.1	2.3	2.45
Divu	kech	Divu4kech1	1.9	1.75	1	0.5	0.6	0.4	1.6	1.4	0.7	1.2	1.35
Divu	dipl	Divu5dipl1	1.2	1.15	0.6	0.5	0.45	0.2	1.5	1.3	0.9	1.1	1.85
Divu	igno	Divu6igno1	1	0.9	0.6	0.3	0.35	0.25	1	0.9	0.55	1	
Divu	igno	Divu6igno2	1.1	1	0.6	0.3	0.3	0.2	0.95	0.8	0.5	1.2	1.2
Divu	kech	Divu6kech1	1.8	1.7	1	0.6	0.7	0.3	1.45	1.3	0.6	1.8	1.86
Divu	igno	Divu7igno1	1.5	1.35	0.8	0.65	0.85	0.45	1.2	1.1	0.7	2.15	1.65
Divu	falc	Divu7falc1	1	0.9	0.45	0.4	0.35	0.25	0.95	0.5	0.85	1.6	
Divu	falc	Divu7falc2	0.95	0.9	0.55	0.55	0.4	0.25	0.9	0.85	0.65	1.1	0.95
Divu	falc	Divu7falc3	1.1				0.35		0.95				
Divu	eleg	Divu7eleg1	1.8	1.65	1.2	0.55	0.55	0.4	1.6	1.5	1	1.9	2.3
Divu	erge	Divu7erge1	2.1	1.85	0.75	1.05	1	0.45	1.8	1.75	0.9	2	3
Divu	igno	Divu7igno2	1.4	1.35	0.8	0.6	0.65	0.25	1.15	1.1	0.75	1.5	1.8
Obme	eleg	Obme1eleg1	1.4	1.3	0.9	0.45	0.4	0.25	1.2	1.1	0.7	0.9	1.25
Obme	eleg	Obme1eleg2	1.3	1.2	0.8	0.4	0.5	0.3	1.3	1.05	0.65	1.2	1.5
Obme	eleg	Obme1eleg3	1.35	1.4	0.9	0.45	0.5	0.45	1.05	0.9	0.65	1.6	1.7
Obme	eleg	Obme1eleg4	1.4	1.2	0.8	0.5	0.55	0.35	1.1	0.95	0.7	1.4	
Obme	eleg	Obme1eleg5	1.45	1.3	0.9	0.3	0.4	0.35	1.2	1.1	0.8	1.4	1.6
Limo	igno	Limo1igno1	1	0.8	0.35	0.5	0.6	0.2	0.8	0.7	0.5	1.7	1.2
Limo	igno	Limo1igno2	1.2	1.1	0.55	0.35	0.5	0.25	0.9	0.8	0.4	1.6	1.4
